COUNTY,CASE_STATUS,Cases,Deaths,Updated
Luce,Confirmed,421,4,2021/12/06 14:03:30
Luce,Probable,493,1,2021/12/06 14:03:30
MDOC,Confirmed,26056,154,2021/12/06 14:03:30
MDOC,Probable,2106,3,2021/12/06 14:03:30
Mackinac,Confirmed,1036,15,2021/12/06 14:03:30
Mackinac,Probable,536,1,2021/12/06 14:03:30
Macomb,Confirmed,133681,2753,2021/12/06 14:03:30
Macomb,Probable,12230,163,2021/12/06 14:03:30
Manistee,Confirmed,1886,43,2021/12/06 14:03:30
Manistee,Probable,372,5,2021/12/06 14:03:30
Marquette,Confirmed,6939,85,2021/12/06 14:03:30
Marquette,Probable,1557,5,2021/12/06 14:03:30
Mason,Confirmed,4053,57,2021/12/06 14:03:30
Mason,Probable,267,1,2021/12/06 14:03:30
Mecosta,Confirmed,5580,67,2021/12/06 14:03:30
Mecosta,Probable,365,4,2021/12/06 14:03:30
Menominee,Confirmed,2909,50,2021/12/06 14:03:30
Menominee,Probable,1042,8,2021/12/06 14:03:30
Midland,Confirmed,11433,152,2021/12/06 14:03:30
Midland,Probable,1036,13,2021/12/06 14:03:30
Missaukee,Confirmed,1739,29,2021/12/06 14:03:30
Missaukee,Probable,381,13,2021/12/06 14:03:30
Monroe,Confirmed,20336,304,2021/12/06 14:03:30
Monroe,Probable,4305,33,2021/12/06 14:03:30
Montcalm,Confirmed,9515,146,2021/12/06 14:03:30
Montcalm,Probable,1258,3,2021/12/06 14:03:30
Montmorency,Confirmed,947,35,2021/12/06 14:03:30
Montmorency,Probable,343,2,2021/12/06 14:03:30
Muskegon,Confirmed,26104,452,2021/12/06 14:03:30
Muskegon,Probable,1094,13,2021/12/06 14:03:30
Newaygo,Confirmed,7637,105,2021/12/06 14:03:30
Newaygo,Probable,548,3,2021/12/06 14:03:30
Oakland,Confirmed,152331,2679,2021/12/06 14:03:30
Oakland,Probable,22851,185,2021/12/06 14:03:30
Oceana,Confirmed,4416,69,2021/12/06 14:03:30
Oceana,Probable,222,6,2021/12/06 14:03:30
Ogemaw,Confirmed,2591,67,2021/12/06 14:03:30
Ogemaw,Probable,555,8,2021/12/06 14:03:30
Ontonagon,Confirmed,626,23,2021/12/06 14:03:30
Ontonagon,Probable,77,1,2021/12/06 14:03:30
Osceola,Confirmed,3165,50,2021/12/06 14:03:30
Osceola,Probable,485,0,2021/12/06 14:03:30
Oscoda,Confirmed,926,44,2021/12/06 14:03:30
Oscoda,Probable,191,3,2021/12/06 14:03:30
Otsego,Confirmed,3108,62,2021/12/06 14:03:30
Otsego,Probable,928,8,2021/12/06 14:03:30
Ottawa,Confirmed,47047,505,2021/12/06 14:03:30
Ottawa,Probable,4415,74,2021/12/06 14:03:30
Out-of-State,Confirmed,2695,29,2021/12/06 14:03:30
Out-of-State,Probable,205,3,2021/12/06 14:03:30
Presque Isle,Confirmed,1266,45,2021/12/06 14:03:30
Presque Isle,Probable,385,3,2021/12/06 14:03:30
Roscommon,Confirmed,2712,81,2021/12/06 14:03:30
Roscommon,Probable,689,8,2021/12/06 14:03:30
Saginaw,Confirmed,30544,699,2021/12/06 14:03:30
Saginaw,Probable,2424,25,2021/12/06 14:03:30
Sanilac,Confirmed,5362,143,2021/12/06 14:03:30
Sanilac,Probable,878,10,2021/12/06 14:03:30
Schoolcraft,Confirmed,757,6,2021/12/06 14:03:30
Schoolcraft,Probable,324,1,2021/12/06 14:03:30
Shiawassee,Confirmed,9575,147,2021/12/06 14:03:30
Shiawassee,Probable,2024,8,2021/12/06 14:03:30
St Clair,Confirmed,22999,539,2021/12/06 14:03:30
St Clair,Probable,4550,30,2021/12/06 14:03:30
St Joseph,Confirmed,8933,122,2021/12/06 14:03:30
St Joseph,Probable,1210,14,2021/12/06 14:03:30
Tuscola,Confirmed,7604,205,2021/12/06 14:03:30
Tuscola,Probable,1602,18,2021/12/06 14:03:30
Unknown,Probable,35,0,2021/12/06 14:03:30
Unknown,Confirmed,17,1,2021/12/06 14:03:30
Van Buren,Confirmed,10732,172,2021/12/06 14:03:30
Van Buren,Probable,764,17,2021/12/06 14:03:30
Washtenaw,Confirmed,35881,345,2021/12/06 14:03:30
Washtenaw,Probable,4393,9,2021/12/06 14:03:30
Wayne,Confirmed,148624,3056,2021/12/06 14:03:30
Wayne,Probable,11115,210,2021/12/06 14:03:30
Wexford,Confirmed,3865,70,2021/12/06 14:03:30
Wexford,Probable,821,7,2021/12/06 14:03:30
